Date,WY,P,Q,ET
5/9/01 0:00,2000,3.3,3.9,4.119082095
5/10/01 0:00,2000,0,3.5,4.119082095
5/11/01 0:00,2000,0,3.2,4.119082095
5/12/01 0:00,2000,2.03,3.5,4.119082095
5/13/01 0:00,2000,2.03,4.2,4.119082095
5/14/01 0:00,2000,2.03,3.3,4.119082095
5/15/01 0:00,2000,0,3,4.119082095
5/16/01 0:00,2000,0,2.9,4.119082095
5/17/01 0:00,2000,0,2.9,4.119082095
5/18/01 0:00,2000,0.25,2.9,4.119082095
5/19/01 0:00,2000,3.81,2.9,4.119082095
5/20/01 0:00,2000,3.81,2.6,4.119082095
5/21/01 0:00,2000,0,2.6,4.119082095
5/22/01 0:00,2000,7.11,2.9,4.119082095
5/23/01 0:00,2000,2.29,2.6,4.119082095
5/24/01 0:00,2000,3.3,2.6,4.119082095
5/25/01 0:00,2000,0.51,2.4,4.119082095
5/26/01 0:00,2000,11.18,2.6,4.119082095
5/27/01 0:00,2000,11.18,2.4,4.119082095
5/28/01 0:00,2000,11.18,4.9,4.119082095
5/29/01 0:00,2000,0,2.6,4.119082095
5/30/01 0:00,2000,2.79,2.3,4.119082095
5/31/01 0:00,2000,2.29,2.6,4.119082095
6/1/01 0:00,2000,21.34,13.7,4.474782942
6/2/01 0:00,2000,0.76,4.6,4.474782942
6/3/01 0:00,2000,0.76,3,4.474782942
6/4/01 0:00,2000,0.76,2.6,4.474782942
6/5/01 0:00,2000,9.65,5.9,4.474782942
6/6/01 0:00,2000,3.56,3.2,4.474782942
6/7/01 0:00,2000,0,2.6,4.474782942
6/8/01 0:00,2000,2.79,2.6,4.474782942
6/9/01 0:00,2000,2.79,2.4,4.474782942
6/10/01 0:00,2000,2.79,2.4,4.474782942
