Date,DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
91030,10/30/09,0.9,0.7,0.5,0.7,0.8,1,0.6,0.6,1
91031,10/31/09,6.6,6.5,6.5,5.2,6,6.2,12.2,11.3,10.9
91101,11/1/09,0,0,0,0,0,0,0,0,0
91102,11/2/09,0,0,0,0,0,0,0,0,0
91103,11/3/09,0,0,0,0,0,0,0,0,0
91104,11/4/09,0,0,0,0,0,0,0,0,0
91105,11/5/09,0,0,0,0,0,0,0,0,0
91106,11/6/09,0,0,0,0,0,0,0,0,0
91107,11/7/09,0,0,0,0,0,0,0,0,0
91108,11/8/09,0,0,0,0,0,0,0,0,0
91109,11/9/09,0,0,0,0,0,0,0,0,0
91110,11/10/09,0,0,0,0,0,0,0,0,0
91111,11/11/09,0,0,0,0,0,0,0,0,0
91112,11/12/09,0,0,0,0,0,0,0,0,0
91113,11/13/09,0,0,0,0,0,0,0,0,0
91114,11/14/09,53.1,52.9,51.1,52.8,51.5,50.1,44.6,47.4,49.9
91115,11/15/09,2,2.1,2.3,1.9,2.5,3.2,3.6,3.4,3
91116,11/16/09,0,0,0,0,0,0,0,0,0
91117,11/17/09,0,0,0,0,0,0,0,0,0
91118,11/18/09,0,0,0,0,0,0,0,0,0
91119,11/19/09,0,0,0,0,0,0,0,0,0
91120,11/20/09,34.1,33.5,33.2,35.8,33.9,33.3,33.9,34.9,33.9
91121,11/21/09,0,0,0,0,0,0,0,0,0
91122,11/22/09,0,0,0,0,0,0,0,0,0
91123,11/23/09,0,0,0,0,0,0,0,0,0
91124,11/24/09,0,0,0,0,0,0,0,0,0
91125,11/25/09,2,1.8,1.9,2.2,1.6,1.3,2.3,2.2,2.7
91126,11/26/09,0.5,0.5,0.6,0.5,0.4,0.3,0.3,0.2,0.3
91127,11/27/09,23,22.6,26.1,23.7,22.2,22.3,22.1,20.3,23.1
91128,11/28/09,2.4,2.7,3.6,2.1,4.3,7.5,5.2,5.1,3.4
91129,11/29/09,0,0,0,0,0,0,0,0,0
91130,11/30/09,1.9,1.9,2.3,1.9,1.7,1.3,5.2,4.6,3.8
91201,12/1/09,0,0,0,0,0,0,0,0,0
91202,12/2/09,1.3,1.3,1.3,1.3,1.1,0.8,0.8,0.9,1.1
91203,12/3/09,34.2,33.9,33.1,34.2,33.7,35.4,32.8,34,34.1
91204,12/4/09,0,0,0,0,0,0,0,0,0
91205,12/5/09,6.8,6.9,6.9,6.6,5.9,4.8,6.4,6.6,6.1
91206,12/6/09,0.5,0.5,0.5,0.5,1.2,2.3,0.3,0.2,0.1
91207,12/7/09,1.4,1.4,1.3,1.5,1.4,1.4,1.6,1.5,2.1
91208,12/8/09,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,0.2
91209,12/9/09,14.7,14.2,14.4,15.2,15.6,16.4,23.5,22.7,22.9
